nurse_id,vacation_date
N001,2025-04-15
N001,2025-04-19
N001,2025-04-24
N001,2025-05-03
N001,2025-05-28
N001,2025-06-05
N001,2025-06-21
N001,2025-06-26
N001,2025-06-28
N002,2025-04-02
N002,2025-05-03
N002,2025-06-09
N002,2025-06-25
N002,2025-06-26
N003,2025-04-10
N003,2025-04-16
N003,2025-04-17
N003,2025-04-23
N003,2025-05-17
N003,2025-05-20
N003,2025-06-20
N003,2025-06-23
N004,2025-04-15
N004,2025-04-17
N004,2025-04-20
N004,2025-05-08
N004,2025-06-05
N004,2025-06-15
N004,2025-06-16
N004,2025-06-28
N004,2025-06-29
N005,2025-04-13
N005,2025-04-17
N005,2025-04-24
N005,2025-05-17
N005,2025-06-17
N005,2025-06-22
N005,2025-06-24
N005,2025-06-28
N006,2025-04-20
N006,2025-04-23
N006,2025-04-30
N006,2025-05-06
N006,2025-05-22
N006,2025-06-07
N006,2025-06-09
N006,2025-06-10
N007,2025-04-17
N007,2025-04-20
N007,2025-04-22
N007,2025-05-05
N007,2025-05-06
N007,2025-06-11
N008,2025-04-14
N008,2025-04-18
N008,2025-04-20
N008,2025-04-22
N008,2025-05-04
N008,2025-05-11
N008,2025-05-26
N008,2025-06-06
N008,2025-06-14
N008,2025-06-29
N009,2025-04-04
N009,2025-04-05
N009,2025-04-18
N009,2025-06-04
N009,2025-06-05
N009,2025-06-16
N009,2025-06-20
N010,2025-04-06
N010,2025-04-09
N010,2025-04-18
N010,2025-05-05
N010,2025-05-20
N010,2025-06-07
N010,2025-06-19
N010,2025-06-27
N011,2025-04-16
N011,2025-05-08
N011,2025-05-25
N011,2025-06-09
N011,2025-06-18
N011,2025-06-21
N011,2025-06-24
N012,2025-04-14
N012,2025-04-19
N012,2025-04-20
N012,2025-05-30
N012,2025-06-14
N012,2025-06-17
N012,2025-06-20
N013,2025-04-11
N013,2025-04-14
N013,2025-04-16
N013,2025-04-23
N013,2025-05-10
N013,2025-05-27
N013,2025-06-08
N013,2025-06-20
N014,2025-04-21
N014,2025-05-05
N014,2025-05-28
N014,2025-06-19
N014,2025-06-20
N015,2025-04-10
N015,2025-04-14
N015,2025-04-17
N015,2025-04-18
N015,2025-05-11
N015,2025-06-24
N015,2025-06-27
N016,2025-04-14
N016,2025-04-16
N016,2025-04-17
N016,2025-04-29
N016,2025-05-24
N016,2025-06-19
N016,2025-06-20
N016,2025-06-25
N017,2025-04-16
N017,2025-04-25
N017,2025-05-13
N017,2025-05-31
N017,2025-06-08
N017,2025-06-23
N017,2025-06-26
N017,2025-06-29
N018,2025-04-14
N018,2025-04-15
N018,2025-04-19
N018,2025-04-24
N018,2025-04-29
N018,2025-05-26
N018,2025-05-27
N018,2025-05-29
N018,2025-06-21
N018,2025-06-26
N019,2025-03-31
N019,2025-04-04
N019,2025-04-12
N019,2025-04-16
N019,2025-05-07
N019,2025-06-02
N019,2025-06-05
N019,2025-06-12
N019,2025-06-19
N020,2025-04-02
N020,2025-04-05
N020,2025-04-20
N020,2025-05-09
N020,2025-05-18
N020,2025-06-07
N020,2025-06-18
N021,2025-04-02
N021,2025-04-15
N021,2025-04-18
N021,2025-05-18
N021,2025-05-20
N021,2025-06-12
N021,2025-06-14
N021,2025-06-20
N021,2025-06-28
N022,2025-04-16
N022,2025-04-19
N022,2025-05-08
N022,2025-05-10
N022,2025-05-30
N022,2025-06-06
N022,2025-06-20
N022,2025-06-22
N022,2025-06-23
N023,2025-04-07
N023,2025-04-17
N023,2025-04-29
N023,2025-05-14
N023,2025-05-31
N023,2025-06-02
N023,2025-06-18
N023,2025-06-27
N024,2025-04-17
N024,2025-04-25
N024,2025-05-12
N024,2025-05-22
N024,2025-06-22
N024,2025-06-24
N025,2025-03-31
N025,2025-04-05
N025,2025-04-14
N025,2025-04-21
N025,2025-05-27
N025,2025-05-29
N025,2025-06-08
N025,2025-06-13
N026,2025-04-10
N026,2025-04-13
N026,2025-04-17
N026,2025-04-20
N026,2025-05-07
N026,2025-05-30
N026,2025-06-10
N027,2025-04-20
N027,2025-04-27
N027,2025-05-08
N027,2025-06-04
N027,2025-06-06
N027,2025-06-17
N028,2025-04-14
N028,2025-04-17
N028,2025-04-19
N028,2025-04-26
N028,2025-04-30
N028,2025-05-01
N028,2025-05-14
N028,2025-06-06
N028,2025-06-20
N029,2025-04-06
N029,2025-04-18
N029,2025-04-19
N029,2025-05-07
N029,2025-05-23
N029,2025-06-09
N029,2025-06-18
N029,2025-06-29
N030,2025-03-31
N030,2025-04-11
N030,2025-04-12
N030,2025-04-14
N030,2025-04-28
N030,2025-05-05
