nurse_id,vacation_date
N001,2025-10-08
N001,2025-10-09
N001,2025-10-19
N001,2025-11-18
N001,2025-12-02
N001,2025-12-03
N001,2025-12-21
N001,2025-12-26
N002,2025-10-05
N002,2025-10-07
N002,2025-10-12
N002,2025-11-03
N002,2025-11-16
N002,2025-12-16
N002,2025-12-18
N002,2025-12-21
N002,2025-12-22
N002,2025-12-25
N003,2025-09-29
N003,2025-10-15
N003,2025-10-18
N003,2025-11-14
N003,2025-12-04
N003,2025-12-24
N004,2025-10-05
N004,2025-11-17
N004,2025-12-06
N004,2025-12-09
N004,2025-12-16
N004,2025-12-25
N005,2025-10-04
N005,2025-10-15
N005,2025-10-16
N005,2025-10-19
N005,2025-11-10
N005,2025-11-16
N005,2025-11-22
N005,2025-12-14
N005,2025-12-28
N006,2025-10-13
N006,2025-10-18
N006,2025-11-10
N006,2025-11-12
N006,2025-11-14
N006,2025-11-18
N006,2025-11-28
N006,2025-12-27
N007,2025-10-11
N007,2025-10-13
N007,2025-11-12
N007,2025-11-15
N007,2025-12-01
N007,2025-12-09
N008,2025-10-16
N008,2025-11-04
N008,2025-12-10
N008,2025-12-23
N008,2025-12-27
N009,2025-10-11
N009,2025-10-19
N009,2025-10-30
N009,2025-11-01
N009,2025-11-16
N009,2025-12-17
N009,2025-12-26
N009,2025-12-28
N010,2025-10-16
N010,2025-11-07
N010,2025-12-01
N010,2025-12-09
N010,2025-12-25
N011,2025-10-10
N011,2025-11-11
N011,2025-11-19
N011,2025-12-01
N011,2025-12-25
N012,2025-10-26
N012,2025-11-03
N012,2025-11-20
N012,2025-11-29
N012,2025-12-02
N012,2025-12-11
N013,2025-09-30
N013,2025-10-01
N013,2025-10-27
N013,2025-10-29
N013,2025-11-10
N013,2025-11-19
N013,2025-11-26
N013,2025-12-22
N013,2025-12-26
N014,2025-10-04
N014,2025-10-16
N014,2025-10-31
N014,2025-11-18
N014,2025-12-09
N014,2025-12-17
N015,2025-10-01
N015,2025-10-06
N015,2025-10-18
N015,2025-10-24
N015,2025-11-04
N015,2025-11-07
N015,2025-11-27
N015,2025-12-18
N015,2025-12-25
N016,2025-10-13
N016,2025-10-15
N016,2025-10-17
N016,2025-11-10
N016,2025-11-12
N016,2025-11-13
N016,2025-11-17
N016,2025-11-21
N016,2025-11-27
N016,2025-12-11
N017,2025-10-14
N017,2025-10-16
N017,2025-10-19
N017,2025-11-05
N017,2025-11-10
N017,2025-12-05
N017,2025-12-14
N017,2025-12-18
N017,2025-12-21
N018,2025-10-10
N018,2025-10-14
N018,2025-10-15
N018,2025-10-17
N018,2025-11-05
N018,2025-11-26
N019,2025-10-01
N019,2025-10-08
N019,2025-10-18
N019,2025-12-09
N019,2025-12-17
N019,2025-12-27
N020,2025-10-02
N020,2025-10-12
N020,2025-10-13
N020,2025-10-18
N020,2025-10-21
N020,2025-11-22
N020,2025-12-08
N020,2025-12-14
N020,2025-12-19
N020,2025-12-22
N021,2025-10-17
N021,2025-10-29
N021,2025-11-13
N021,2025-12-11
N021,2025-12-27
N021,2025-12-28
N022,2025-10-07
N022,2025-10-13
N022,2025-10-15
N022,2025-10-23
N022,2025-11-29
N022,2025-12-15
N023,2025-10-05
N023,2025-10-15
N023,2025-10-29
N023,2025-11-06
N023,2025-11-19
N023,2025-11-25
N023,2025-11-30
N024,2025-10-20
N024,2025-11-11
N024,2025-11-15
N024,2025-12-02
N024,2025-12-07
N024,2025-12-24
N025,2025-10-19
N025,2025-11-03
N025,2025-11-30
N025,2025-12-05
N025,2025-12-16
N025,2025-12-25
N026,2025-10-03
N026,2025-10-04
N026,2025-10-09
N026,2025-10-12
N026,2025-10-15
N026,2025-10-16
N026,2025-11-01
N026,2025-12-27
N027,2025-09-30
N027,2025-10-04
N027,2025-10-17
N027,2025-10-21
N027,2025-10-24
N027,2025-11-01
N027,2025-11-13
N027,2025-11-14
N027,2025-12-26
N028,2025-10-03
N028,2025-10-08
N028,2025-10-21
N028,2025-10-27
N028,2025-11-05
N028,2025-11-15
N028,2025-12-24
N028,2025-12-25
N029,2025-09-29
N029,2025-10-15
N029,2025-10-16
N029,2025-11-18
N029,2025-11-27
N030,2025-10-07
N030,2025-10-14
N030,2025-10-17
N030,2025-10-18
N030,2025-10-19
N030,2025-10-27
N030,2025-11-21
N030,2025-12-11
N030,2025-12-13
N030,2025-12-18
