nurse_id,vacation_date
N001,2025-07-28
N001,2025-08-01
N001,2025-08-02
N001,2025-08-05
N001,2025-08-06
N001,2025-08-08
N001,2025-08-18
N001,2025-08-21
N001,2025-08-24
N001,2025-08-27
N002,2025-07-31
N002,2025-08-02
N002,2025-08-07
N002,2025-08-11
N002,2025-08-26
N002,2025-09-01
N002,2025-09-05
N002,2025-09-22
N003,2025-07-07
N003,2025-07-09
N003,2025-07-15
N003,2025-07-17
N003,2025-07-19
N003,2025-07-26
N003,2025-07-28
N003,2025-08-10
N003,2025-08-15
N003,2025-08-26
N004,2025-07-06
N004,2025-07-26
N004,2025-08-02
N004,2025-08-10
N004,2025-09-22
N005,2025-07-15
N005,2025-07-19
N005,2025-07-26
N005,2025-08-09
N005,2025-09-27
N006,2025-07-02
N006,2025-07-19
N006,2025-07-24
N006,2025-08-10
N006,2025-08-11
N006,2025-08-28
N006,2025-09-24
N007,2025-07-16
N007,2025-07-24
N007,2025-07-25
N007,2025-07-26
N007,2025-07-27
N007,2025-08-02
N007,2025-08-06
N007,2025-08-16
N007,2025-09-07
N007,2025-09-11
N008,2025-07-14
N008,2025-07-15
N008,2025-07-28
N008,2025-08-01
N008,2025-08-09
N008,2025-08-25
N008,2025-08-27
N009,2025-07-13
N009,2025-07-18
N009,2025-07-20
N009,2025-07-23
N009,2025-07-28
N010,2025-07-17
N010,2025-07-21
N010,2025-07-26
N010,2025-08-02
N010,2025-08-06
N010,2025-08-09
N010,2025-08-20
N010,2025-08-23
N011,2025-07-21
N011,2025-07-30
N011,2025-08-02
N011,2025-08-10
N011,2025-08-29
N011,2025-09-13
N012,2025-06-30
N012,2025-07-18
N012,2025-07-19
N012,2025-07-27
N012,2025-07-31
N012,2025-08-07
N013,2025-07-18
N013,2025-07-29
N013,2025-08-19
N013,2025-09-01
N013,2025-09-15
N014,2025-07-15
N014,2025-07-30
N014,2025-07-31
N014,2025-08-05
N014,2025-09-15
N014,2025-09-25
N015,2025-07-16
N015,2025-07-17
N015,2025-07-20
N015,2025-07-23
N015,2025-08-01
N015,2025-08-04
N015,2025-08-10
N016,2025-07-13
N016,2025-07-19
N016,2025-08-01
N016,2025-08-02
N016,2025-08-05
N016,2025-08-12
N017,2025-07-15
N017,2025-07-19
N017,2025-07-24
N017,2025-07-29
N017,2025-08-06
N017,2025-08-21
N017,2025-08-28
N017,2025-08-31
N017,2025-09-18
N018,2025-07-16
N018,2025-07-24
N018,2025-07-30
N018,2025-08-22
N018,2025-09-09
N018,2025-09-11
N019,2025-07-25
N019,2025-07-26
N019,2025-07-27
N019,2025-07-30
N019,2025-07-31
N019,2025-08-15
N019,2025-09-13
N020,2025-07-14
N020,2025-07-20
N020,2025-08-06
N020,2025-08-07
N020,2025-08-22
N020,2025-08-23
N020,2025-09-05
N020,2025-09-08
N020,2025-09-17
N021,2025-07-18
N021,2025-07-23
N021,2025-07-27
N021,2025-07-28
N021,2025-08-08
N021,2025-08-14
N021,2025-08-20
N021,2025-09-03
N021,2025-09-13
N022,2025-07-13
N022,2025-07-16
N022,2025-07-25
N022,2025-07-28
N022,2025-07-29
N022,2025-08-01
N022,2025-08-07
N022,2025-08-23
N022,2025-09-28
N023,2025-07-01
N023,2025-07-23
N023,2025-07-24
N023,2025-08-07
N023,2025-09-10
N023,2025-09-17
N023,2025-09-28
N024,2025-07-03
N024,2025-07-14
N024,2025-07-19
N024,2025-07-30
N024,2025-08-01
N024,2025-08-02
N024,2025-08-04
N024,2025-08-25
N024,2025-09-13
N024,2025-09-23
N025,2025-07-15
N025,2025-07-19
N025,2025-07-20
N025,2025-08-07
N025,2025-08-21
N025,2025-09-08
N026,2025-07-17
N026,2025-07-19
N026,2025-07-31
N026,2025-08-06
N026,2025-08-07
N026,2025-08-10
N026,2025-08-24
N026,2025-09-09
N026,2025-09-26
N027,2025-07-17
N027,2025-07-19
N027,2025-07-29
N027,2025-08-04
N027,2025-08-07
N027,2025-09-18
N027,2025-09-25
N028,2025-07-02
N028,2025-07-09
N028,2025-07-28
N028,2025-07-30
N028,2025-08-01
N028,2025-08-06
N028,2025-08-08
N028,2025-08-25
N028,2025-09-04
N028,2025-09-28
N029,2025-07-23
N029,2025-08-05
N029,2025-08-08
N029,2025-08-19
N029,2025-09-27
N030,2025-07-16
N030,2025-07-21
N030,2025-07-23
N030,2025-07-26
N030,2025-07-30
N030,2025-08-06
N030,2025-08-13
